no,theme_en,theme_ja,title_en,title_ja,spiritual_meaning,positive,reverse,spiritual_level,daily_level,description,url_positive,url_reverse
11,Magician,魔術師,,,Balance / Cosmic harmony,"Equilibrium, fairness, centeredness, inner peace","Imbalance, extreme views, instability",Alignment with universal law,Creating stability in daily life,"The universe operates on principles of perfect balance and harmony. To reflect this cosmic order, one must find equilibrium within. This card represents the integration of opposites—light and dark, masculine and feminine, action and stillness. Achieving inner harmony allows the soul to navigate the physical world with grace and wisdom.",https://drive.google.com/file/d/1LuZfUI4TKR7IDrKUVeEVRWje-54nrxGI/view?usp=sharing,https://drive.google.com/file/d/1eDN0cCPzbAzu1h2f8zzCKNqxLa9jLuV2/view?usp=sharing
12,Mind,精神,,,Healing / Restoration of wholeness,"Recovery, self-care, renewal, clearing blockages","Ignoring pain, resisting healing, holding onto trauma",Cleansing the energetic body,Physical and emotional recovery,"Healing is the process of returning to the original, perfect state of the soul. In the physical realm, trauma and dense energies can block the flow of life force. This card indicates a time for deep restoration. By releasing what no longer serves and allowing divine energy to permeate the body and mind, true wholeness can be reclaimed.",https://drive.google.com/file/d/1p1WtvEhwBbGr-b4HHVJAofphRMWjSxHa/view?usp=sharing,https://drive.google.com/file/d/1PTn1cKjQP7fvu4AIv-Z3f7_y-tmUUyTG/view?usp=sharing
13,Justice,正義,,,Illumination / Inner wisdom,"Clarity, insight, spiritual awakening, truth","Confusion, illusion, ignoring inner guidance",Connecting with the higher mind,Gaining understanding of a situation,"When the veil of illusion is lifted, the soul's infinite wisdom shines through. Illumination is the sudden realization of spiritual truth that transcends the limitations of the physical mind. This card heralds a moment of clarity and expanded awareness. Trust the insights that arise from within, as they are direct communications from the Oversoul.",https://drive.google.com/file/d/1Wpm0iFFk4cGl4284K7FWTRY0N-RQmNrU/view?usp=sharing,https://drive.google.com/file/d/1AfSNeVBFRGsw88p1wfNRsVrv-BRhUI2s/view?usp=sharing
14,Contemplate,観想,,,Creation / Birthing the new,"Creativity, inspiration, fertility, innovation","Creative block, lack of inspiration, barrenness",Co-creating with the divine,Starting a new project or phase,The impulse to create is a reflection of the Creator's nature. Every soul has the capacity to bring forth new forms and ideas into the physical world. This card signifies a fertile period where inspiration flows freely. It invites you to express your unique gifts and collaborate with universal energies to manifest your visions.,https://drive.google.com/file/d/1d0_VjHdq0lPKOVhWnBYkUUyMpEMaAT4M/view?usp=sharing,https://drive.google.com/file/d/14iaXiQ-t3KY5owiLylxiezmdNdyhLRY3/view?usp=sharing
15,Soul,魂,,,Connection / Web of life,"Interdependence, community, shared purpose, empathy","Isolation, feeling disconnected, self-absorption",Recognizing the unity of all beings,Building relationships and networks,"All life is interconnected through an invisible web of energy. This card reminds us that we are not isolated individuals, but integral parts of a vast cosmic community. By fostering genuine connections and acting with empathy, we strengthen the collective consciousness and contribute to the harmonious evolution of all.",https://drive.google.com/file/d/1nH2j-Ci3VpkJOrckNPZyjQ-Vdrr3oZTx/view?usp=sharing,https://drive.google.com/file/d/1tVd9zW5FJsyqMqVRsHXagb3g4eWpKMP5/view?usp=sharing
16,Death,死,,,Trust / Surrender to the flow,"Faith, letting go of control, inner peace","Anxiety, micromanaging, lack of faith",Yielding to divine timing,Releasing stress and worry,True spiritual power often requires relinquishing the need to control every outcome. Trusting the universe allows you to flow with the natural currents of life rather than struggling against them. This card indicates a need to surrender your personal agenda and have faith that the Oversoul is orchestrating events for your highest good.,https://drive.google.com/file/d/1_AcVIp62cp2TzROFJddLsG5ZZY0yPv5y/view?usp=sharing,https://drive.google.com/file/d/1AeRg_yGo3nvyiDnK_QPxL51eAHa3vMbz/view?usp=sharing
17,Voice,声,,,Reflection / The mirror of reality,"Self-awareness, introspection, recognizing projections","Denial, blaming others, lacking insight",Understanding the external world as an internal reflection,Taking responsibility for one's experiences,"The physical world acts as a mirror, reflecting our inner state of consciousness. What we see in others and experience in life often highlights what needs attention within ourselves. This card urges you to look inward and realize that by shifting your internal beliefs and emotions, your external reality will transform accordingly.",https://drive.google.com/file/d/1KTPFgwe0srX9Ru_XP3-NXjKXuBDlm20O/view?usp=sharing,https://drive.google.com/file/d/1aQWkGfJ-UUhSt5IL9_kYfqPC8moDP3hC/view?usp=sharing
18,Intention,意図,,,Courage / Overcoming fear,"Bravery, taking risks, stepping into the unknown","Cowardice, being paralyzed by fear, playing it safe",Trusting the soul's immortality,Facing challenges head-on,"Growth requires moving beyond the comfort zone. Fear is often an illusion created by the physical mind's instinct for survival. This card calls upon your innate courage to face the unknown. By trusting in your eternal nature, you can take bold steps forward and embrace the experiences your soul came here to have.",https://drive.google.com/file/d/19bXgpa4KC1xHvRBGGWYXklB4VsFExkJo/view?usp=sharing,https://drive.google.com/file/d/1bFgXAjj0kKOeXfiZv8sv8umeDE7o9z6i/view?usp=sharing
19,Omni,偏在する存在,,,Abundance / Universal flow,"Prosperity, gratitude, recognizing limitless resources","Scarcity mindset, greed, feeling deprived",Aligning with the frequency of plenty,Experiencing material and emotional wealth,"The universe is infinitely abundant, and there is more than enough for everyone. Scarcity is a limitation imposed by the mind. This card signifies a time to open yourself to receiving. By practicing gratitude and aligning with the frequency of abundance, you allow prosperity to flow freely into all areas of your life.",https://drive.google.com/file/d/1hWVACihrj8SrhU7gY17-9B3lAjJGXY9-/view?usp=sharing,https://drive.google.com/file/d/1PTgPOWpEYbreyEQGkuCxO7p7pyIfdPjr/view?usp=sharing
20,Wellness,健やかさ,,,Transformation / The alchemy of soul,"Metamorphosis, shedding old skins, profound change","Resisting change, feeling stuck, painful transitions",Transmuting dense energy into light,Undergoing significant life shifts,"Transformation is the alchemical process of turning the lead of dense human experience into the gold of spiritual wisdom. This card marks a period of profound metamorphosis. It requires releasing attachments to past identities and allowing the fire of transformation to burn away what is no longer needed, revealing your true essence.",https://drive.google.com/file/d/1koqXA7gkkzdteqG4o4qkzIAhyig2Vpha/view?usp=sharing,https://drive.google.com/file/d/1PTgPOWpEYbreyEQGkuCxO7p7pyIfdPjr/view?usp=sharingg
21,Commune,交流,,,Service / The path of the heart,"Compassion, selflessness, helping others, altruism","Martyrdom, self-neglect, acting from ego",Recognizing the divine in all,Contributing to the well-being of others,"True service arises not from a sense of obligation, but from a deep recognition of our shared divinity. When we serve others from the heart, we align with the highest vibrations of love. This card encourages you to offer your gifts and energy to support the collective, while ensuring you also maintain your own energetic boundaries and well-being.",https://drive.google.com/file/d/1KqXSGI0S3IMcbow08tyTHU6Gd1_XgKyk/view?usp=sharing,https://drive.google.com/file/d/1CnP_Lv832jr-NRpAj_V9EvYWjFol42Av/view?usp=sharing
22,Conflict,葛藤,,,Integration / Bringing it all together,"Synthesis, wholeness, alignment of mind, body, and spirit","Fragmentation, disjointed efforts, feeling scattered",Merging all aspects of the self,Harmonizing different areas of life,"Integration is the process of synthesizing all experiences, lessons, and aspects of the self into a cohesive whole. It is the realization that nothing is separate. This card suggests that you are entering a phase where the pieces of the puzzle are coming together. By harmonizing your thoughts, actions, and spiritual beliefs, you achieve a state of profound wholeness.",https://drive.google.com/file/d/1osaJtq752aRyJ_-XFu3DjFxOBQEwh8cw/view?usp=sharing,https://drive.google.com/file/d/1B1VC2ZeSBnGJyB63Ok-fRxnvDCZqy64i/view?usp=sharing
23,Imagination,想像力,,,Intuition / Inner knowing,"Trusting your gut, clear perception, spiritual insight","Ignoring intuition, overthinking, clouded judgment",Direct communication from the soul,Making decisions based on inner feelings,"Intuition is the language of the soul, bypassing the logical mind to deliver profound truths. This card encourages you to quiet the chatter of everyday life and listen to the subtle whispers within. By trusting your inner knowing, you align yourself with a higher perspective and navigate life's challenges with greater ease and accuracy.",https://drive.google.com/file/d/1vlUysAgCfmgmttCK6ZIbIM6_11EaXEUd/view?usp=sharing,https://drive.google.com/file/d/1IKDpRFFyflSGUuilaCdT3CqfBGSPhwR0/view?usp=sharing
24,Labor,労働,,,Patience / Divine timing,"Endurance, calmness, trusting the process","Impatience, forcing outcomes, frustration",Understanding the rhythm of the universe,Waiting for the right moment to act,The universe unfolds according to its own perfect rhythm. This card reminds you that forcing things before their time often leads to resistance and unnecessary struggle. Practice patience and trust that everything is happening exactly when it is supposed to. Allow the seeds you have planted to grow at their own natural pace.,https://drive.google.com/file/d/1AcyxEA3IR1QkiImp-2Q4G9JryJshb-pA/view?usp=sharing,https://drive.google.com/file/d/1e7rTAoEOmODJxMBx3SPuvyVNGCdZSXUo/view?usp=sharing
25,Entomb,埋葬,,,Forgiveness / Releasing the past,"Letting go of resentment, compassion, emotional freedom","Holding grudges, bitterness, being trapped by past hurts",Dissolving karmic ties,Healing relationships and finding peace,"Forgiveness is a powerful act of self-healing. Holding onto anger and resentment only binds you to the past and lowers your vibrational frequency. This card asks you to release old wounds, not to condone the actions of others, but to free yourself from their energetic grip. By forgiving, you open your heart to unconditional love.",https://drive.google.com/file/d/1-N_hboEdwD5-jJgFshnTUjQX3AFf1UnN/view?usp=sharing,https://drive.google.com/file/d/18rIEiM4QqjtfqfPsT8XMuGdWVhvMuUic/view?usp=sharing
26,Integration,統合,,,Authenticity / Living your truth,"Being genuine, speaking your truth, self-acceptance","Hiding your true self, trying to please others, wearing masks",Expressing the soul's unique signature,Honesty in actions and words,"Your soul has a unique frequency that can only be expressed when you are truly authentic. This card urges you to drop the masks you wear for society and embrace your true self. When you live in alignment with your inner truth, you radiate a powerful light that inspires others to do the same.",https://drive.google.com/file/d/160xDoeLqm0SHmRyqlhY6JO_GEG-zB1Fx/view?usp=sharing,https://drive.google.com/file/d/1M_ufRW_RP6gAHFYknwnJSXCixcNFZNQA/view?usp=sharing
27,Strategy,戦略,,,Gratitude / Appreciating the now,"Thankfulness, joy, recognizing blessings","Taking things for granted, focusing on what is lacking",Elevating your energetic vibration,Finding beauty in everyday moments,"Gratitude is one of the highest vibrational states you can embody. It acts as a magnet, drawing even more blessings into your life. This card reminds you to pause and appreciate the abundance that already surrounds you. By shifting your focus from what is lacking to what is present, you transform your reality instantly.",https://drive.google.com/file/d/1YdCynthJIqEinRUZsi_c5ZyE40nepKD6/view?usp=sharing,https://drive.google.com/file/d/1SZ8K7BK7PPfao1WTqqYyz-dYhnFC8O0o/view?usp=sharing
28,Vanity,虚飾,,,Resilience / Bouncing back,"Inner strength, overcoming adversity, adaptability","Giving up easily, feeling defeated, inflexibility",The soul's enduring power,Recovering from setbacks,Adversity is often the forge in which spiritual strength is tempered. This card represents your innate ability to recover from challenges and emerge even stronger. Trust in your resilience. Every setback is an opportunity for profound growth and a deeper understanding of your own indestructible nature.,https://drive.google.com/file/d/1uC5M3vkM6s0fffoFRcSyAnTarMLJpUr9/view?usp=sharing,https://drive.google.com/file/d/1Fh0WFvwpFZH0XU3ZnokooLCC--Kq0irq/view?usp=sharing
29,Antahkarana,アンタカラナ,,,Synchronicity / Meaningful coincidences,"Being in the flow, recognizing signs, universal alignment","Ignoring signs, feeling disconnected, random chaos",The universe speaking directly to you,Following the breadcrumbs of intuition,"Synchronicity is the universe's way of confirming that you are on the right path. This card encourages you to pay attention to the seemingly random coincidences in your life. These are not accidents, but meaningful signs and guideposts from the higher realms. Stay open and receptive to the subtle messages being sent your way.",https://drive.google.com/file/d/1B575k96C_iS9_vSfi3HqoYFeUWTWtBFU/view?usp=sharing,https://drive.google.com/file/d/1mAQSoc0IrO7AePYtIoqkSISqR2xdEpWg/view?usp=sharing
30,Soar,飛翔,,,Surrender / Letting go of ego,"Humility, yielding to a higher power, spiritual release","Ego-driven actions, stubbornness, resisting the inevitable",Aligning with the Divine Will,Accepting things as they are,"Surrender is not about giving up, but about relinquishing the ego's need to control. It is an act of profound trust in the intelligence of the universe. This card invites you to stop fighting against the current of your life. By letting go, you create space for miracles and solutions that the logical mind could never conceive.",https://drive.google.com/file/d/11uSEi3zZGGEJO7fwJHhjzxOx7oloebcX/view?usp=sharing,https://drive.google.com/file/d/1TlF334hE2uVNRCz3xoPibGccx_o13mXf/view?usp=sharing
31,Knowing,叡智,,,Joy / The vibration of the soul,"Happiness, playfulness, lightness of being","Sorrow, taking life too seriously, heaviness",Experiencing the natural state of spirit,Finding pleasure in simple things,"Joy is the natural state of the soul. It is a high-frequency energy that effortlessly dissolves fear and density. This card is a reminder to inject playfulness and laughter into your life. Don't take everything so seriously. By choosing joy, you elevate your consciousness and become a beacon of light for others.",https://drive.google.com/file/d/1uwWYM7wBsDpoSRScHiqpNNW9pgn0Z_cs/view?usp=sharing,https://drive.google.com/file/d/1yp27OfXRaMoV2Zv5Uo-knsWqntjZdZZs/view?usp=sharing
32,Harmony,ハーモニー,,,Wisdom / Applied knowledge,"Deep understanding, good judgment, learning from experience","Repeating mistakes, foolishness, ignoring lessons",Accessing the Akashic Records,Making informed and thoughtful choices,"Wisdom is the synthesis of knowledge and experience, illuminated by spiritual insight. This card suggests that you have gathered valuable lessons from your past. Now is the time to apply that deep understanding to your current situation. Trust your inner sage and draw upon the eternal wisdom stored within your soul.",https://drive.google.com/file/d/1zlpJwQxiupBLT1Ds9-plhv-B80Vn7AZx/view?usp=sharing,https://drive.google.com/file/d/1-lVCo_BizsGhV1fzJJ6UfnZNDbjjzWt6/view?usp=sharing
33,Ascension,アセンション,,,Ascension / Rising to a new level,"Spiritual elevation, enlightenment, expanding consciousness","Stagnation, fear of growing, being held back",Moving into higher dimensional awareness,A significant breakthrough or milestone,Ascension is the ultimate goal of the soul's journey through time and space—a complete shift into a higher state of consciousness. This card indicates a major spiritual milestone. You are elevating your vibration and stepping into a more expanded version of yourself. Embrace this transformation with an open heart and a clear mind.,https://drive.google.com/file/d/1O4Wat6_H2dkcQRcjId59Vvjb6tdtbtlg/view?usp=sharing,https://drive.google.com/file/d/1AN2Q179qAsPKmpGa4xzfKIkc3ei_J2U6/view?usp=sharing
0,Back,カード裏面,,,,,,,,,https://drive.google.com/file/d/1YHlrX8K2MpDSIuxwW_pRomNf02ymGzwn/view?usp=sharing,
